id,user_prompt,better_prompt
11,Analyze a character's decision.,"Isolate a single, critical decision made by a character in a well-known work of fiction. Perform an in-depth analysis of that decision. 1. The Decision: Clearly state the specific choice the character made. 2. The Motivations: Analyze the competing internal and external factors that influenced the character's decision. 3. The Immediate Consequences: Describe the immediate results of the character's action. 4. The Long-Term Ramifications: Explain how this single decision impacted the rest of the plot and the character's ultimate fate. 5. The Thematic Significance: How does this decision and its consequences reinforce one of the story's central themes?"
12,Create a magical school.,"Establish the concept for a school of magic. The concept should be unique and detailed. 1. School Name and Location. 2. The Founding Philosophy: What is the school's core belief about magic and its use? 3. The Houses or Factions: If the school is divided into groups, describe them and their values. 4. The Curriculum: What are the core subjects, and what is one unique or dangerous class that is offered? 5. A Famous Alumnus: Briefly describe a famous graduate and what they are known for. 6. A Dark Secret: What is a secret about the school's history or a forbidden area on its grounds?"
13,Write a 'how-to' guide for a soft skill.,"Develop a practical guide on how to develop a specific soft skill (e.g., 'active listening', 'giving constructive feedback', 'managing up'). The guide should be actionable. 1. Define the Skill: A clear, concise definition of the skill and why it is important. 2. The Common Barriers: Identify 2-3 common mistakes or mindsets that prevent people from being good at this skill. 3. The 3-Step Method: A simple, memorable, step-by-step process for practicing the skill. 4. Practice Scenarios: Provide 2-3 hypothetical scenarios where a person could practice this skill. 5. A Self-Assessment Checklist: A list of questions a person can ask themselves to gauge their improvement."
14,Give me a fictional historical era.,"Delineate a distinct historical era for a fictional world. 1. The Name of the Era: (e.g., 'The Age of Sundering', 'The Era of Silent Stars'). 2. The Defining Event: The major event that started this era. 3. Key Characteristics: A description of the era's dominant technology, culture, and political climate. 4. The End of the Era: The major event that brought this era to a close. 5. The Lasting Legacy: How is this era remembered by future generations in the world?"
15,Write a script for a podcast episode.,"Outline a script for a 15-minute solo-hosted podcast episode on a specific topic. The script should be structured for an engaging listening experience. 1. Intro Music Cue. 2. The Hook: A compelling opening statement or question that grabs the listener's attention. 3. The Main Topic Introduction: Briefly introduce the topic and what the episode will cover. 4. Segment 1: The first main point, with a clear transition. 5. Segment 2: The second main point, with a clear transition. 6. Segment 3: The third main point, with a clear transition. 7. The Summary: A quick recap of the key takeaways. 8. The Call to Action: What you want the listener to do next. 9. Outro Music Cue."
16,Analyze a business strategy.,"Evaluate the business strategy of a real-world company. The evaluation should be objective and based on established business frameworks. 1. The Core Strategy: Identify and articulate the company's primary competitive strategy (e.g., cost leadership, differentiation, niche focus). 2. The Value Chain: Analyze the key activities the company performs to create value and how they align with its core strategy. 3. The Competitive Advantage: What is the company's sustainable competitive advantage? Why is it difficult for competitors to replicate? 4. The Key Risks: Identify 2-3 major external or internal risks that threaten the company's strategy. 5. Future Outlook: Provide a concluding assessment of the strategy's long-term viability."
17,Create a fictional element.,"Invent a new, fictional element for a science fiction or fantasy world. 1. Element Name and Symbol. 2. Physical Properties: Its appearance, state at room temperature, density, etc. 3. Unique Property: The one extraordinary scientific or magical property that makes this element special. 4. The Source: Where is this element found and how is it harvested or created? 5. The Applications: What are its primary uses in the world's technology or magic?"
18,Write a mission debriefing scene.,"Script a scene in which a character is debriefed by their superior after a mission. The scene should be written in screenplay format. 1. The Setting: A location that establishes the power dynamic (e.g., a sterile office, a dimly lit backroom). 2. The Official Report: The character gives a concise, official account of the mission's outcome. 3. The Probing Question: The superior asks a question that reveals they know more than they are letting on. 4. The Revelation of a Secret: The dialogue should reveal that something happened on the mission that was not in the official report. 5. A New Order: The scene must end with the superior giving the character a new, unexpected order based on the secret revelation."
19,Give me a fictional ruin.,"Describe a significant ancient ruin in a fantasy or sci-fi world. The description should be evocative and full of story hooks. 1. The Name: What is the ruin called by locals and by archaeologists? 2. The Original Purpose: What was this place in its prime? (e.g., a fortress, a temple, a library). 3. The Cataclysm: What event led to its ruin? 4. The Defining Feature: The most striking or mysterious feature of the ruin that remains today. 5. The Lingering Presence: What danger, mystery, or guardian still haunts the ruin?"
20,Write a step-by-step guide to a negotiation.,"Formulate a step-by-step guide to successfully negotiating a specific scenario (e.g., 'buying a car', 'resolving a dispute with a neighbor'). 1. Step 1: The Preparation: A checklist of the research and planning to do before the negotiation begins. 2. Step 2: The Opening: How to make the first offer or statement to frame the negotiation in your favor. 3. Step 3: The Exchange: A guide to presenting your points, listening to the other party, and finding common ground. 4. Step 4: The 'BATNA': Explain the concept of the 'Best Alternative to a Negotiated Agreement' and how to use it. 5. Step 5: The Close: How to finalize the agreement and ensure all terms are clear."
21,Analyze a poem's structure.,"Dissect the structure of a poem and explain how its form contributes to its meaning. The dissection should examine: 1. The Form: Identify the poem's form (e.g., sonnet, villanelle, free verse). 2. The Stanza Structure: How are the stanzas organized? How do they break up the poem's ideas? 3. The Rhyme Scheme: Map out the rhyme scheme (if any) and analyze its effect. Does it create harmony or tension? 4. The Meter: Analyze the rhythm and meter of the lines. How does the rhythm affect the tone? 5. The Synthesis: Conclude by explaining how these structural choices work together to reinforce the poem's central theme and emotional impact."
22,Create a fictional organization.,"Profile a fictional non-governmental organization (NGO) or activist group. 1. The Name and Logo Concept. 2. The Mission Statement: A clear, passionate statement of the organization's primary goal. 3. The Methods: What are the primary tactics the organization uses to achieve its goals? (e.g., public protests, political lobbying, research and education). 4. The Founder: A brief story about the person who founded the organization and their motivation. 5. The Main Antagonist: The corporation, government, or ideology that the organization is primarily fighting against."
23,Write a product teardown.,"Execute a 'product teardown' of a popular app or website. The teardown should be a critical analysis of its user experience and design. 1. The Onboarding Experience: Analyze the process for a new user, from signup to the 'aha!' moment. 2. The Core Loop: Identify and analyze the primary action or loop that keeps users coming back. 3. A Key Feature Analysis: Choose one key feature and analyze its design, usability, and effectiveness. 4. The 'Genius' Moment: Highlight one particularly clever or well-designed element of the product. 5. The 'Missed Opportunity': Identify one area where you believe the product could be significantly improved."
24,Give me a fictional plant.,"Invent a fictional plant or fungus. The invention should be detailed and have potential for use in a story. 1. The Name: Common and scientific. 2. The Appearance and Habitat: A description of the plant and where it grows. 3. The Unique Property: The one key property that makes it useful or dangerous (e.g., medicinal, poisonous, hallucinogenic, sentient). 4. The Harvesting Process: How is the plant gathered, and is there any danger or difficulty involved? 5. The Role in the Economy: How has this plant influenced the local economy or trade?"
25,Write a training module.,"Outline a single training module for a corporate workshop on a specific topic (e.g., 'Time Management', 'Cybersecurity Awareness'). 1. Module Title. 2. Learning Objective: What is the one thing participants will be able to do after this module? 3. The 'Hook' (5 min): An opening story, statistic, or question to engage the participants. 4. The Core Concept (15 min): A clear explanation of the key model or framework for the topic. 5. The Interactive Activity (20 min): A group activity or case study that allows participants to apply the concept. 6. The Debrief and Takeaway (10 min): A discussion to solidify the learning and provide an actionable takeaway."
26,Analyze a historical turning point.,Isolate a single historical event and argue for its significance as a major 'turning point'. The argument must be structured persuasively. 1. The 'World Before': Describe the state of affairs *before* the event. 2. The Event: A concise summary of the event itself. 3. The 'World After': Detail the immediate and significant changes that occurred as a direct result of the event. 4. The Counterfactual: Briefly explore the counterfactual—what would have likely happened if this event had not occurred? 5. The Concluding Argument: A final statement that synthesizes the evidence to prove why this event was a critical hinge in history.
27,Create a fictional military unit.,"Detail a unique, elite military unit for a sci-fi or fantasy setting. 1. Unit Name and Motto. 2. The Specialization: What is the unit's specific area of expertise on the battlefield? (e.g., psionic warfare, anti-magic operations, zero-gravity combat). 3. The Signature Equipment: Describe a piece of technology or a weapon that is unique to this unit. 4. The Recruitment and Training: How are members selected and what does their training entail? 5. A Legendary Mission: Briefly recount the story of the unit's most famous or difficult mission."
28,Write a 'first look' review of a new technology.,"Pen a 'first look' review of a new, real-world technology, written for a tech blog. The review should be balanced and insightful. 1. The Promise: What is the new technology supposed to do, and what problem does it claim to solve? 2. The Design and First Impressions: A description of the physical design, build quality, and initial user experience. 3. The 'Wow' Factor: Describe the one feature or aspect that is most impressive or innovative. 4. The 'Question Mark': Identify the biggest unanswered question or potential drawback of the technology. 5. The Verdict for Now: A concluding statement on who should be excited about this technology and what its future potential might be."
29,Give me a fictional black market.,"Describe a fictional black market or underground economy. 1. The Name/Location: The name of the market and where it is located (e.g., a hidden bazaar, a dark web network). 2. The Primary Goods: What are the main illegal or rare goods and services traded here? 3. The Currency: What form of currency is used? 4. The 'Code': A description of the unwritten rules or etiquette that govern transactions in the market. 5. The Enforcer: The powerful individual or group that enforces the rules and maintains order."
30,Write a personal essay.,"Compose a short personal essay based on a single, specific memory. The essay must use the memory to explore a larger theme or insight. 1. The Narrative: Recount the specific memory with vivid sensory details. 2. The Reflection: The essay must contain the narrator's reflections on the memory from their present-day perspective. 3. The Universal Theme: Connect the personal story to a larger, universal human experience (e.g., loss, discovery, regret). 4. The 'So What?': The essay must answer the implicit question 'so what?', revealing the significance of the memory and the insight gained from it."
31,Analyze a company's financial statement.,"Propose a framework for a basic analysis of a public company's annual financial statement for a beginner investor. The framework should identify key metrics to look for. 1. The Income Statement: Look for consistent revenue growth and stable profit margins. 2. The Balance Sheet: Check for a healthy debt-to-equity ratio and sufficient cash on hand. 3. The Cash Flow Statement: Ensure the company is generating positive cash flow from operations. 4. The 'Red Flags': A list of 2-3 warning signs to look out for, such as declining revenue or rapidly increasing debt. 5. The Big Picture: A final question: Does the financial story told by these numbers align with the company's public narrative?"
32,Create a fictional exploration mission.,"Outline the plan for a fictional exploration mission into an unknown territory (e.g., a deep-space anomaly, a newly discovered continent). 1. The Mission Name and Objective: The official name and the primary scientific or strategic goal. 2. The Vessel/Vehicle: A description of the ship or vehicle being used for the exploration. 3. The Crew: A list of the key crew members and their specialized roles. 4. The Primary Obstacle: The single biggest known danger or challenge the mission is expected to face. 5. The Contingency Plan: What is the protocol if the mission encounters a catastrophic failure or a discovery that changes everything?"
33,Write a 'myth vs. fact' guide.,"Construct a 'Myth vs. Fact' guide on a common topic. The guide should be designed to debunk popular misconceptions. For 3-5 common myths on the topic, the structure for each entry should be: 1. The Myth: State the common misconception clearly. 2. The Fact: State the reality in a clear, direct sentence. 3. The Explanation: A brief paragraph that explains why the myth is incorrect, citing evidence or reasoning."
34,Give me a fictional holiday tradition.,"Invent a single, unique tradition for a fictional holiday. The tradition should be rich with symbolic meaning. 1. The Name of the Tradition. 2. The Action: A clear description of what people do during this tradition. 3. The Symbolism: An explanation of the deeper meaning behind the actions and any objects used. 4. The Origin: A short story of how the tradition began. 5. A Modern Twist: How has the tradition been adapted or changed in modern times?"
35,Write a creative biography.,"Recount the life of a historical figure in the style of a creative non-fiction piece, focusing on a single, defining period of their life. The biography must: 1. Have a Narrative Focus: Instead of a cradle-to-grave summary, focus on a specific challenge, relationship, or creation. 2. Use Sensory Details: Describe the sights, sounds, and feelings of the historical setting. 3. Incorporate Primary Sources: Weave in quotes from the person's letters or journals to reveal their inner thoughts. 4. Explore a Central Question: The narrative should be driven by a central question about the person's character or motivations."
36,Analyze a user interface element.,"Perform a deep-dive analysis of a single, common user interface element (e.g., the 'pull-to-refresh' gesture, the 'hamburger' menu, the 'like' button). 1. The Function: What does the element do? 2. The Usability: Analyze its ease of use, discoverability, and efficiency. 3. The History: Briefly describe the origin of this UI pattern and how it became a standard. 4. The Psychology: Why is this design effective from a user psychology perspective? 5. A Potential Improvement: Suggest one way this common element could be improved or an alternative that could be used."
37,Create a fictional university.,Profile a fictional university. The profile should give it a distinct character and academic focus. 1. University Name and Motto. 2. The Founding Story: A brief history of the university's founding. 3. The Academic Specialization: What is the one field of study the university is world-renowned for? 4. The Campus: A description of the university's architecture and campus environment. 5. A Famous Tradition: Describe a unique annual tradition that all students participate in. 6. A Campus Legend: Recount a popular ghost story or legend associated with the university.
38,Write a 'how to choose' guide.,"Develop a guide on 'how to choose' the right product from a category with many options (e.g., 'how to choose a laptop', 'how to choose a coffee maker'). The guide should be a decision-making framework. 1. Step 1: Define Your Needs: A series of questions to help the user identify their primary use case and priorities. 2. Step 2: Understand the Key Specs: A glossary that explains the 3-4 most important technical specifications or features for this product category in simple terms. 3. Step 3: Set Your Budget: Advice on how to set a realistic budget. 4. Step 4: The Final Checklist: A summary checklist of features to compare when looking at specific models."
39,Give me a fictional code of laws.,Codify a list of 5-7 key laws from a fictional society. The laws should reveal the society's values and priorities. Each law should include: 1. The Law itself: A formal statement of the rule. 2. The Rationale: The stated reason why the law exists. 3. The Punishment: The penalty for breaking the law. 4. The Unspoken Implication: What does this law reveal about the society's deepest fears or power structure?
40,Write a character's internal monologue.,"Compose a short internal monologue of a character in a high-stakes situation. The monologue should be a stream-of-consciousness that reveals their state of mind. It must include: 1. Sensory Details: What the character is seeing, hearing, and feeling physically. 2. Fragmented Thoughts: The thoughts should not be perfectly grammatical sentences but should reflect the rapid, often chaotic nature of internal thought under pressure. 3. A Core Conflict: The monologue should show the character wrestling with a difficult choice or a powerful fear. 4. A Decision: The monologue must end with the character making a clear decision, even if it's a reluctant one."
41,Analyze a brand's rebranding effort.,"Evaluate a real-world example of a major company's rebranding. The evaluation should be a critical assessment. 1. The 'Before': A brief description of the brand's old identity (logo, slogan, positioning). 2. The 'After': A description of the new brand identity. 3. The Stated Reason: What was the company's public reason for the rebrand? 4. The Strategic Analysis: What do you believe were the underlying strategic reasons for the change? 5. The Verdict: Was the rebrand a success or a failure? Justify your assessment based on public reception, clarity, and strategic alignment."
42,Create a fictional pilgrimage.,"Describe a significant pilgrimage in a fictional world. 1. The Destination: The sacred site where the pilgrims are going. 2. The Purpose: Why do people undertake this journey? What are they seeking? 3. The Route: A description of the path the pilgrims must travel, including its key challenges and dangers. 4. The Rituals: Describe one or two rituals that pilgrims must perform along the way. 5. The Transformation: What change is a pilgrim expected to have undergone upon completing the journey?"
43,Write a 'common mistakes' article.,"Author an article on the '5 Common Mistakes [a specific group] Make When [doing a specific task]'. The article should be constructive and helpful. For each of the 5 mistakes, the structure should be: 1. The Mistake: A clear statement of the common error. 2. Why It's a Problem: An explanation of the negative consequences of making this mistake. 3. The Solution: A clear, actionable piece of advice on how to avoid or fix the mistake."
44,Give me a fictional tournament.,"Design a fictional tournament or competition. 1. The Name of the Tournament. 2. The Skill Being Tested: What is the competition about? (e.g., magical dueling, starship racing, political debate). 3. The Structure: How does the tournament work? (e.g., single elimination, round-robin). 4. The Grand Prize: What does the winner receive? 5. A Legendary Champion: A brief story of the most famous champion in the tournament's history."
45,Write a fictional city's travel advisory.,"Compose a travel advisory for a fictional city, written from the perspective of an official government body. The advisory should be a mix of practical advice and world-building. 1. The Overall Risk Level: (e.g., Level 1: Exercise Normal Precautions, Level 4: Do Not Travel). 2. The Primary Risks: A bulleted list of the main dangers to travelers (e.g., 'high levels of magical background radiation', 'political instability in the lower districts', 'pickpocketing by trained gargoyles'). 3. Local Laws and Customs: A list of 2-3 unique local laws or customs that travelers should be aware of to avoid trouble. 4. Contact Information: In-world contact information for the local embassy or consulate."
46,Analyze a film's opening scene.,"Deconstruct the opening scene (the first 5 minutes) of a well-known film. The analysis must explain how the scene sets up the rest of the movie. 1. Introduction of Theme: How does the scene introduce the central theme of the film? 2. Establishment of Tone: What cinematic choices (e.g., music, lighting, pacing) establish the film's tone and genre? 3. Character Introduction: How is the protagonist introduced, and what do we learn about their personality and situation? 4. Foreshadowing: Identify at least one element in the opening scene that foreshadows a future plot point. 5. The Inciting Incident (or its seed): Does the scene contain the inciting incident or the event that will lead to it?"
47,Create a fictional currency.,"Develop a concept for a fictional currency. 1. The Name of the Currency: (e.g., 'Solaris', 'Guilders'). 2. The Denominations: What are the common denominations of coins and bills? 3. The Physical Description: What do the coins and bills look like? What figures or symbols are on them? 4. The Backing: What gives the currency its value? (e.g., a precious metal, the government's authority, magical energy). 5. A Slang Term: A common slang term for the currency (e.g., 'clippers', 'shards')."
48,Write a 'what to expect' guide.,"Draft a 'What to Expect When...' guide for a common but stressful life experience (e.g., '...You're a First-Time Homebuyer', '...You're Starting Your First Corporate Job'). The guide should be reassuring and practical. 1. The Emotional Rollercoaster: A section that normalizes the likely emotional ups and downs of the experience. 2. The Key Players: A glossary of the key people you will interact with and their roles. 3. The Process Timeline: A high-level, step-by-step overview of the process from beginning to end. 4. The Jargon Buster: A list of 3-5 common pieces of jargon and their simple definitions. 5. A Pro-Tip: One piece of advice from someone who has been through it."
49,Give me a fictional social ritual.,"Detail a unique social ritual from a fictional culture. 1. The Name of the Ritual. 2. The Purpose: What is the social function of this ritual? (e.g., a coming-of-age ceremony, a greeting for strangers, a way to settle disputes). 3. The Steps: A step-by-step description of how the ritual is performed. 4. The Symbolism: An explanation of the symbolic meaning of the actions or objects involved. 5. The Consequence: What happens if the ritual is performed incorrectly or not at all?"
50,Write a character introduction scene.,"Script a scene that introduces a main character for the first time. The scene must reveal the character's personality through their actions, not through exposition. The scene must: 1. Be Action-Oriented: The character should be doing something, not just talking. 2. Show, Don't Tell: The character's actions, choices, and environment should reveal their key traits. 3. Contain a Small Conflict: The character should face and resolve a minor conflict in a way that demonstrates their core nature. 4. Establish a Skill or Flaw: The scene should clearly demonstrate something the character is either very good at or very bad at."
51,Analyze a company's marketing campaign.,"Evaluate a specific, real-world marketing campaign. The evaluation should be a critical assessment of its strategy and execution. 1. The Campaign: A brief description of the campaign, including its core message and the channels it used. 2. The Strategic Goal: What was the likely business objective of the campaign? 3. The Target Audience: Who was the campaign trying to reach? 4. The Creative Execution: An analysis of the campaign's creative elements (e.g., the ad copy, the visuals, the tone). 5. The Results and Impact: Was the campaign successful? Analyze its public reception, engagement metrics, and impact on the brand."
52,Create a fictional heirloom.,"Conceive of a fictional family heirloom that is central to a story. 1. The Object: A physical description of the heirloom. 2. The Origin Story: The story of the ancestor who first owned it and how they acquired it. 3. The Tradition: The tradition or ceremony associated with passing the heirloom down through generations. 4. The Secret: The secret or hidden feature of the heirloom that is unknown to most of the family. 5. The Conflict: The source of conflict the heirloom creates in the present day (e.g., two siblings fighting over it)."
53,Write a 'field guide' entry.,"Compose an entry for a fictional field guide about a specific creature or plant. The entry should be written in the style of a naturalist's journal. 1. The Subject's Name. 2. A Detailed Sketch Description: A description of what a sketch of the creature would look like. 3. Habitat and Behavior: Notes on where to find the subject and its observable behaviors. 4. Personal Anecdote: A short, first-person account of an encounter with the subject. 5. A Warning or Note of Caution: A practical piece of advice for other explorers."
54,Give me a fictional historical artifact.,Invent a fictional historical artifact. 1. The Artifact's Name. 2. The Description: A detailed physical description of the artifact. 3. The Culture of Origin: The fictional culture that created it. 4. The Intended Purpose: What was the artifact's original function? 5. The Mystery: The unanswered question or mystery that still surrounds the artifact today.
55,Write a 'what if' historical scenario.,"Explore a plausible 'what if' scenario in history. The exploration should be a logical and well-reasoned narrative. 1. The Point of Divergence: The single, specific historical event that changes. 2. The Immediate Ripple Effect: The immediate consequences of this change in the first few years. 3. The Long-Term Consequences: A narrative exploring how this change would have altered the course of history decades or centuries later. 4. The World Today: A concluding description of what the world might look like today if this change had happened."
56,Analyze a website's information architecture.,"Assess the information architecture (IA) of a real-world website. The assessment should focus on how information is organized and structured. 1. The Navigation System: Analyze the main navigation menu. Is it clear, logical, and comprehensive? 2. The Labeling System: Are the labels for links and categories clear and unambiguous? Do they use language the target audience would understand? 3. The Organization Scheme: How is the content on the site organized? (e.g., by topic, by task, by audience). 4. The Search System: Evaluate the effectiveness of the site's search function. 5. Recommendations for Improvement: Provide 2-3 specific, actionable recommendations for improving the website's IA."
57,Create a fictional holiday food.,"Invent a fictional food that is only eaten on a specific holiday. 1. The Name of the Food. 2. The Description: What it looks, smells, and tastes like. 3. The Ingredients: A mix of real and fictional ingredients. 4. The Tradition: The story or tradition behind why this specific food is eaten on this holiday. 5. The Preparation: A brief description of the ritual or process of making the food."
58,Write a 'post-mortem' document.,"Structure a template for a project 'post-mortem' or retrospective document. The template should be designed to facilitate learning and improvement. 1. Project Overview: A brief summary of the project's goals and final outcome. 2. What Went Well?: A section for the team to list the successes and things that should be repeated in the future. 3. What Could Be Improved?: A section to list the challenges and things that should be done differently next time. 4. Key Learnings: A bulleted list of the 3-5 most important lessons learned from the project. 5. Action Items: A list of specific, actionable steps the team will take to implement these learnings in future projects."
59,Give me a fictional code of ethics.,"Draft a code of ethics for a fictional profession (e.g., 'The Guild of Chronomancers', 'The Interstellar Cartographers' Union'). The code should consist of 5-7 core tenets that reveal the values of the profession. Each tenet should be a clear, declarative statement that governs the members' behavior."
60,Write a character's 'I want' song.,"Compose the lyrics for a character's 'I Want' song, in the style of a musical theater number. The song should establish the protagonist's core desire and motivation early in the story. The lyrics must: 1. Start with the Present: The opening verse should describe the character's current, unsatisfactory situation. 2. State the Desire: The chorus must clearly and passionately state what the character wants more than anything. 3. Explain the 'Why': The second verse or bridge should reveal the deeper reason behind their desire. 4. Build to a Climax: The song should build emotionally and musically to a final, powerful declaration of their goal."
61,Analyze a building's architecture.,"Perform an architectural analysis of a famous building. The analysis should explain how the building's design creates a specific experience. 1. The Function: What is the primary purpose of the building? 2. The Style: What architectural style does it represent? 3. The Materials: Analyze the use of materials and how they contribute to the building's aesthetic and feel. 4. The Relationship to its Environment: How does the building interact with its surrounding site and landscape? 5. The User Experience: How does the design of the interior spaces (e.g., the flow, the use of light) affect a person moving through them? What feeling does it evoke?"
62,Create a fictional underground movement.,"Profile a fictional resistance or underground movement. 1. The Name/Symbol. 2. The Oppressor: The government, corporation, or ideology the movement is fighting against. 3. The Leader: A description of the movement's enigmatic leader. 4. The Methods: What are the movement's primary tactics? (e.g., espionage, sabotage, public art, propaganda). 5. The Core Weakness: What is the movement's greatest internal weakness or vulnerability?"
63,Write a 'cheat sheet' for a complex topic.,"Condense a complex topic into a one-page 'cheat sheet'. The cheat sheet must be designed for quick reference and easy comprehension. 1. The Core Concept: A one-sentence definition. 2. The Key Components: A breakdown of the 3-5 most important sub-topics or parts, using a diagram or flowchart if possible. 3. The Essential Vocabulary: A list of the 5-7 most important terms and their simple definitions. 4. The 'Remember This!' Box: A highlighted box that contains the single most important takeaway."
64,Give me a fictional duel.,"Choreograph a duel between two characters. The duel should reveal character and advance the plot. 1. The Stakes: What is the personal and public stake of the duel for each participant? 2. The Setting: A location that adds a unique challenge or symbolic meaning to the duel. 3. The Contrasting Styles: The two duelists should have very different fighting styles that reflect their personalities. 4. The Dialogue: The duel should include brief, impactful lines of dialogue exchanged between the fighters. 5. The Unexpected Turn: The duel should not end as expected; there should be a twist, an interruption, or a surprising outcome."
65,Write a fictional research paper.,"Author the abstract and introduction for a fictional academic paper from a unique field of study (e.g., 'Applied Thaumaturgy', 'Xeno-linguistics'). The paper must: 1. Have a Formal Title. 2. List Fictional Authors and Institutions. 3. An Abstract: A concise summary of the paper's fictional research. 4. An Introduction: A section that introduces the research problem, reviews prior (fictional) literature, and states the paper's central hypothesis."
66,Analyze a fairy tale.,"Deconstruct a classic fairy tale from a specific analytical perspective (e.g., a feminist, psychoanalytic, or Marxist reading). 1. The Chosen Lens: Clearly state the critical perspective you are using. 2. The Core Argument: Formulate a thesis statement about what the fairy tale reveals when viewed through this lens. 3. Analysis of Symbols and Characters: Analyze the key characters and symbols in the story according to your chosen lens. 4. The Social Function: What social values or norms does the fairy tale reinforce or challenge? 5. The Modern Relevance: How does this interpretation change the fairy tale's meaning for a modern audience?"
